Date,Close_META,Volume_META
2016-12-16,119.62418365478516,25324300.0
2016-12-19,118.99546813964844,15918100.0
2016-12-20,118.84577178955078,13684400.0
2016-12-21,118.79588317871094,10767600.0
2016-12-22,117.15924835205078,16258600.0
2016-12-23,117.02951049804688,10890000.0
2016-12-27,117.76799774169922,12051500.0
2016-12-28,116.68022155761719,12087400.0
2016-12-29,116.11139678955078,9934900.0
2016-12-30,114.81407165527344,18684100.0
2017-01-03,116.62035369873047,20663900.0
2017-01-04,118.44660186767578,19630900.0
2017-01-05,120.42253875732422,19492200.0
2017-01-06,123.15692901611328,28545300.0
2017-01-09,124.64386749267578,22880400.0
2017-01-10,124.0949935913086,17324600.0
2017-01-11,125.8314208984375,18356500.0
2017-01-12,126.36033630371094,18653900.0
2017-01-13,128.07679748535156,24884300.0
2017-01-17,127.60778045654297,15294500.0
2017-01-18,127.65766906738281,13145900.0
2017-01-19,127.28843688964844,12195500.0
2017-01-20,126.77947998046875,19097200.0
2017-01-23,128.66558837890625,16593600.0
2017-01-24,129.1046905517578,15162700.0
2017-01-25,131.21035766601562,18731300.0
2017-01-26,132.50770568847656,20020100.0
2017-01-27,131.908935546875,19539500.0
2017-01-30,130.71139526367188,18956100.0
2017-01-31,130.05276489257812,19790500.0
2017-02-01,132.956787109375,50139800.0
2017-02-02,130.57168579101562,54366400.0
2017-02-03,130.71139526367188,24804900.0
2017-02-06,131.7891845703125,17058500.0
2017-02-07,131.5696258544922,14596400.0
2017-02-08,133.92478942871094,22390600.0
2017-02-09,133.8649139404297,16470600.0
2017-02-10,133.91481018066406,15061900.0
2017-02-13,133.7751007080078,13526200.0
2017-02-14,133.5755157470703,14364900.0
2017-02-15,133.16635131835938,13226500.0
2017-02-16,133.56553649902344,12831100.0
2017-02-17,133.25616455078125,12276500.0
2017-02-21,133.44578552246094,14759100.0
2017-02-22,135.84085083007812,27360100.0
2017-02-23,135.08241271972656,18422500.0
2017-02-24,135.16226196289062,12625700.0
2017-02-27,136.13026428222656,14306700.0
2017-02-28,135.2620391845703,16112100.0
2017-03-01,137.13818359375,16257000.0
2017-03-02,136.4795379638672,12294800.0
2017-03-03,136.88868713378906,11160600.0
2017-03-06,137.13818359375,12748200.0
2017-03-07,137.0184326171875,13527100.0
2017-03-08,137.4375762939453,10184500.0
2017-03-09,137.95651245117188,15535300.0
2017-03-10,138.50537109375,16314100.0
2017-03-13,139.313720703125,10955500.0
2017-03-14,139.0343017578125,12944000.0
2017-03-15,139.43348693847656,19344800.0
2017-03-16,139.7029266357422,13612900.0
2017-03-17,139.55322265625,20592800.0
2017-03-20,139.65301513671875,12099500.0
2017-03-21,138.2259521484375,29894800.0
2017-03-22,139.30374145507812,17055400.0
2017-03-23,139.24386596679688,13022800.0
2017-03-24,140.0522003173828,16664700.0
2017-03-27,140.03225708007812,12800500.0
2017-03-28,141.4692840576172,14679400.0
2017-03-29,142.35745239257812,16527600.0
2017-03-30,142.1179656982422,12404000.0
2017-03-31,141.75869750976562,11478300.0
2017-04-03,141.98822021484375,13564000.0
2017-04-04,141.43934631347656,12948600.0
2017-04-05,141.55911254882812,17158100.0
2017-04-06,140.8804931640625,15103400.0
2017-04-07,140.49130249023438,11818300.0
2017-04-10,140.75076293945312,9039400.0
2017-04-11,139.63307189941406,16638100.0
2017-04-12,139.29376220703125,11612500.0
2017-04-13,139.10414123535156,10965600.0
2017-04-17,141.12998962402344,11519700.0
2017-04-18,140.67092895507812,14807500.0
2017-04-19,141.97825622558594,15563900.0
2017-04-20,143.50509643554688,15968200.0
2017-04-21,143.38534545898438,12382000.0
2017-04-24,145.17169189453125,14407200.0
2017-04-25,146.18960571289062,17767500.0
2017-04-26,146.2594451904297,12395000.0
2017-04-27,147.39710998535156,11275100.0
2017-04-28,149.94187927246094,30652200.0
2017-05-01,152.14735412597656,25218300.0
2017-05-02,152.46669006347656,21870400.0
